Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340605,0,0.0439021536027421,0,0,0.107829177131485,0.0624002982567226,0.285164482715943,0,0.0941446422382351,0.0485296091140031,0,0.0263103864935827,0,0.0869957015765841,0,0,0,0.155670323938366,0,0,0.0677827539792851,0.0212704709530514,0.77,-0.00734039172627992,1.10051081086862
GSM340606,0.0113522130211354,0.0220885612458927,0,0,0.0681533337512708,0,0.372044558507569,0,0.0430281815346546,0.0295534326492506,0,0.00735994845694864,0,0.092313105062758,0,0,0,0.194578083220053,0.081577665025581,0,0.0281848063079373,0.0497661112169489,0.27,0.0673821127652837,1.06179643103487
GSM340607,0.0235196942587122,0,0.0849863513631834,0.0767531499404632,0,0.264696949766467,0,0,0.109309823694955,0,0.123173546017366,0,0.0228742854752282,0.00600030887112273,0.0297419024126957,0.117733843805601,0.0205137065714252,0.120696437822781,0,0,0,0,0.1,0.129957634453499,1.04454473442646
GSM340608,0.0537628990130926,0,0.0552804200494556,0,0,0.155214116562031,0.247066024872981,0,0.0404932865945768,0.0481469950235791,0,0.00781449685769687,0,0,0,0.245164005615754,0,0.0808882856983542,0.0517701693739366,0,0,0.0143993003385415,0.57,0.019164061948194,1.06500962467058
GSM340609,0.122853787692636,0,0,0,0,0.107857363660337,0.200543155924183,0,0.145112699784809,0,0.0726548240746827,0,0,0.0428431884310915,0,0,0.00376999763270619,0.304364982799555,0,0,0,0,0.56,0.0211012232418606,1.10643754675075
GSM340610,0,0.0166229932478688,0.0377277561686075,0,0.000923544677218299,0.0335213339954915,0.0938227645267672,0,0.224306960058919,0,0.140541023718973,0,0.008777513734641,0.0862559026282634,0.048474483042358,0,0.122522786838831,0.131917664777782,0.0545852725842788,0,0,0,0.3,0.0561564825835927,1.06704699284789
GSM340611,0.0228343993626362,0.0226967325705811,0,0,0,0.144907031220554,0.131859201671355,0.0331252301244568,0.0755832995603209,0.083441003513337,0,0.0212317555788407,0,0.12297709371586,0.0105773172700436,0,0.0849424006265242,0.200679630187784,0.0451449045977075,0,0,0,0.65,0.00431960699582996,1.09157315459168
GSM340615,0,0.0997785382016962,0,0,0,0.233703804246693,0,0,0.0783803022501432,0,0.0467167967142151,0.0832144017263398,0.0208902237284373,0,0,0.279540057209111,0,0.0626224764968219,0.0933248441744164,0,0.00182855525212576,0,0.49,0.0276272093640273,1.07876106450705
GSM340616,0.0305975672872237,0.00171598323535969,0,0,0.0788268791344302,0.13669551548829,0,0,0.226435140666656,0,0.0747883279628463,0,0.0689919096031984,0.00179770079718818,0,0.187138612929985,0,0.0658053106049132,0.113313851868857,0,0.0138932004210522,0,0.44,0.0319226017194821,1.0722042159134
GSM340617,0.0519465951865597,0,0,0.0735124066744428,0,0,0.181628827069058,0.0386324655332658,0.149776642592557,0.0130219958218649,0.0535811499412151,0,0.0127472598990679,0.0237307440922439,0,0.235276836092911,0,0.155819582744272,0,0,0,0.0103254943525422,0.52,0.0241444195699202,1.07906632297734
GSM340619,0,0.0230922936607814,0,0,0.0215018895383661,0.0560618055767518,0.369963328141622,0,0.073217063323099,0,0,0.037168549023988,0,0.0105900913831113,0,0.0869224188580629,0,0.182894215592767,0.0770443409016981,0,0,0.0615440039997522,0.72,-0.00260780496293162,1.0917713430408
GSM340621,0.0117178361858593,0,0,0,0.211026484699937,0,0.140938703183751,0,0.178715046574995,0.0642966166109386,0.0323533421803857,0.0268185294799393,0,0,0,0.144097413115668,0,0.083507775154663,0.0904440678724766,0,0.00955472183302374,0.00652946310836342,0.43,0.0346683765468613,1.08156519703627
GSM340622,0,0.00471811493660494,0,0,0.14454162221631,0,0.0573382791726532,0,0.312106968838342,0.0464219143924579,0,0.0397301921343794,0,0.0199896257378296,0,0,0.0459191741240227,0.228358324790528,0,0.0880436955533124,0,0.0128320881035599,0.29,0.059451329472638,1.09480863782545
GSM340624,0,0.0744351115021567,0,0.000450577136552611,0.120108525892615,0,0.109282588685528,0,0.113670930935006,0,0.0426497640871267,0.0213477202528888,0,0,0,0.316489323265088,0,0.154590894367072,0.0469745638759655,0,0,0,0.64,0.0131404260516582,1.08112514645569
GSM340625,0.0598494186114567,0,0.121304270911922,0,0.034104100789023,0.155018032882266,0.122967705507468,0.020164994828725,0.0386134577168587,0,0.0845158065393174,0.0161364349310065,0.039119710622594,0,0,0.164165810342688,0,0.124159432585806,0.0133295132537194,0,0,0.00655131047714898,0.66,-0.000137352666198214,1.07068248546833
GSM340626,0,0.217597448005494,0,0,0.0300120549421176,0.0202450810019617,0.0430767286528265,0,0.168803701628,0,0,0.0785382216437536,0.0649593482946277,0,0,0.157987033675709,0,0.159673749214149,0.0591066329413617,0,0,0,0.72,-0.00189244229456825,1.08365507723235
GSM340627,0,0.00319016612079624,0.0277272126471574,0.0403174717406081,0,0.0937769380857368,0.233734539006351,0,0.138577826311614,0.00316655623754073,0,0,0,0.203526725841853,0,0.0719750538195015,0,0.138006018701589,0.0438960065041445,0,0,0.00210548498310932,0.64,0.0130606431801387,1.08552473337474
GSM340629,0.014035972271748,0.133850849221998,0.0421633979211341,0.0417843491489629,0,0.044848457454139,0.0642505521326664,0.0368407094825577,0,0,0.0356350341580096,0.0185106702840771,0.0391589969840418,0,0.0309677197472082,0.192043970826321,0,0.0189269029224215,0.286982417444714,0,0,0,0.39,0.0392680938797514,1.05291121457996
GSM340631,0.0572268151535811,0,0.0368009735768884,0.0479442472592225,0,0.0727573095150422,0.156964556733317,0,0.302880115011357,0,0.0708651446044025,0,0,0,0,0.0199566330293836,0,0.232450276242511,0,0,0,0.00215392887429429,0.27,0.067413251842128,1.08722354404214
GSM340632,0,0.0557747943674617,0,0,0.107475187931583,0.0957056095515443,0.0296286266198099,0,0.0949880322332734,0,0.0820697630731721,0.0286950838883145,0.0355168227076732,0,0.000578435442734176,0.12255260628044,0.0906268074362028,0.1662665134194,0.090121717048391,0,0,0,0.64,0.013161713460969,1.07649559436256
GSM340635,0,0.0538796058761325,0,0.104849096289705,0,0.206236046144398,0.0817167585974222,0,0.213159350055748,0,0.0700923391784461,0,0.0401546430431843,0,0.0285589666815337,0.123422393451075,0.0455719522891154,0.0115402428305375,0.0166419766096154,0,0.00417662895308685,0,0.45,0.0308118368979603,1.09110209333216
GSM340637,0,0.0326101073881792,0,0.04204465890817,0,0.144839592092034,0.026484711823025,0.00265659785172332,0.140904573037388,0.0483507804719264,0.0766049315029758,0,0,0,0.0294865350011935,0.238901291995684,0,0.204107030936242,0,0,0,0.0130091889914592,0.11,0.122185523194223,1.05220342575137
GSM340638,0,0,0,0,0,0.240304494450011,0.267008931944835,0,0.207716694721181,0,0,0,0,0,0,0.0634953659950957,0,0.188343714409934,0.0331307984789434,0,0,0,0.65,0.00369342683818822,1.10977511611509
GSM340639,0.00197563693635639,0.0243990322207693,0.00165256889225441,0,0.074665584620836,0,0.128685526278554,0,0.110874385759967,0.024188573107515,0.0303476158479772,0,0,0,0,0.287382692233629,0.152068731464488,0.110599235157,0.0287333449100442,0,0,0.0244270725706092,0.49,0.026831288231265,1.07463737521745
GSM340640,0,0.00638278468720409,0,0,0.0227374179180283,0.0191315178825063,0.0672703318855314,0.00717663199601108,0.125571898433799,0,0.0484205460650282,0,0.00215877361610571,0.202007723388636,0.0778820360977953,0.161394207112963,0,0.218579990677511,0.0183195716128956,0,0,0.0229665686259853,0.36,0.0460528453428116,1.10298463595774
GSM340641,0.102168711467475,0,0.0159003755314706,0,0.147290123519344,0,0.0955770911007805,0,0.124032641214386,0.0438756495386043,0.148898759779924,0,0,0,0,0,0,0.205046947685428,0,0.117209700162588,0,0,0.9,-0.0275549079545272,1.12832440241261
GSM340642,0,0,0,0,0.0745388616091463,0.109810994334227,0,0,0.237910599422277,0,0.0744193947782597,0.0111951101287867,0.0889892892135906,0.0393583475117546,0.0276297316683579,0.0312427910833899,0,0.263602067825763,0.0413028124244471,0,0,0,0.39,0.0386147412786341,1.09631734126219
GSM340643,0,0.0487534279636321,0,0,0.017430489407256,0.112472385401849,0.283264617929643,0,0.0791184639312263,0.0177871685450134,0.061639082334298,0,0,0,0,0.155955196872426,0,0.189900253261041,0.0286819959932925,0,0.00499691836032221,0,0.56,0.0215223977732074,1.08140976963185
GSM340644,0.0454837428432871,0,0,0.00764507308974066,0,0.240296025987446,0.0285347661029735,0,0.117542344643701,0,0.0239319561336983,0.0618556331611135,0.0373009386753812,0,0,0.23025728775587,0,0.111557130597072,0.0555895481367144,0,0,0.0400055528730027,0.42,0.0356444922176177,1.07440337109703
GSM340645,0.00157601586904416,0.00231027893460204,0,0,0,0.0784198966993161,0.0263189515477027,0.0486858464412868,0.179511771000601,0,0.0527050131405012,0.00154507334358959,0,0.142103203234021,0.182130691393245,0.0174555963539987,0,0.196637939272429,0.0705997227696626,0,0,0,0.08,0.147892030324839,1.06915096580703
GSM340646,0.0386533715965228,0,0.0893709047372097,0.0326444919433744,0,0.0995758032895182,0.224465113680454,0,0.0622540057015967,0.0400305154286813,0,0,0,0.0415386331274322,0.0149740345959445,0.0288088212170977,0,0.0470794805011222,0.237428790307188,0,0,0.0431760338738583,0.72,-0.00226539867851369,1.06545226787287
GSM340647,0,0,0.161512819555747,0,0.0619027106971048,0.0312873601742429,0.0264806213964265,0,0.162075331787634,0,0.0717766837391178,0.168245168410802,0,0.0342522275028008,0,0.0383519412405304,0,0.0811175833728286,0.162997552122766,0,0,0,0.64,0.0134053852457202,1.10208104231086
GSM340649,0.00558133107613684,0.0368330816434794,0,0.00570916370622619,0,0.15386520556256,0,0,0.131649125435106,0,0.11785371944685,0,0.0514867142453423,0,0,0.209827741483105,0.195347328617034,0.053387145699061,0,0.0384594430850991,0,0,0.3,0.052446299749869,1.06710793031029
GSM340650,0,0,0,0,0,0.359821788245801,0.068546884589558,0,0.0892796248210216,0,0.098717392668456,0,0.0230363374129925,0.143401363593657,0.0253730588211012,0.0548731306737808,0,0.0594718766630125,0,0.0774785425106189,0,0,0.19,0.0916151074416545,1.06698796704247
GSM340651,0.0191388008686705,0.00872988684532372,0,0,0,0.0484433276794532,0.109721251714291,0,0.218875855656746,0,0.0625021420369723,0.017038049704555,0.0239460553614745,0,0,0.205418388127476,0.0329047294132081,0.191261717080104,0.062019795511726,0,0,0,0.29,0.0615473936174503,1.06262240400381
GSM340652,0.0289531761721995,0,0,0.000928344728822507,0.219468522393555,0,0.308915865510519,0,0.0513342479617189,0.0570535664626284,0.0126135594476893,0,0,0.0180807288153659,0.0219763326240456,0.0515832388602224,0,0.191337753875042,0.032571917161676,0,0,0.00518274598651519,0.49,0.0270479072367738,1.09205603311119
GSM340655,0.0293222200377837,0,0.0188312596477636,0,0.209266641779907,0,0,0,0.136594810766262,0,0.101064395148017,0,0.0631591583828674,0.0295817627357597,0,0,0,0.289254581812844,0,0.115251171353871,0.00767399833492427,0,0.07,0.158077568420162,1.04178035031962
GSM340656,0.0570359529896539,0,0.0459184595049077,0,0.0693499475809745,0.0611499481867118,0,0.0192922857391809,0.247849041267227,0,0.16537646932698,0,0.0133189711180448,0.132397145139003,0.0498947622599614,0.000944905805746036,0,0.0658641580674836,0,0.0698314093487226,0.00177654366540216,0,0.44,0.0322149138445745,1.09125553703651
GSM340657,0,0,0.0085383219017548,0.172482743224007,0,0.0719325233453962,0.153441927455758,0,0.134992586654079,0,0.0977989647161013,0,0.018282493466388,0.102169719266213,0.0503175252207604,0.0850413515208559,0,0.0678543654509446,0.0371474777777418,0,0,0,0.25,0.0744529775723233,1.07050654574921
GSM340658,0.097855019021301,0,0,0,0,0.236322708950898,0.0408870302832724,0,0.163165842274978,0,0.107630149015985,0.0180213461751669,0.0868989268871476,0.0540258697879071,0,0.0652031142520565,0,0.0555496907793353,0.0744403025719522,0,0,0,0.39,0.0383056521145504,1.07555134071464
GSM340659,0.0300112531250262,0,0.137105790171011,0.259696883947411,0,0.0208031616943417,0.0989455108266785,0,0.116274200010215,0,0.0886736652983259,0,0.00705921641822076,0,0.0270372337897717,0.0484907454282936,0,0.109991515225144,0.0171242866639053,0.0312452372518844,0,0.00754130014976991,0.31,0.051930074631941,1.0765062087181
GSM340661,0.0263920323143617,0,0,0,0.0512162135758298,0.0943542504661218,0.159647343552199,0,0.205875801882344,0.0056563116313437,0.0544027921175062,0,0,0,0,0.105264914935437,0.111048301061954,0.163505839214996,0,0,0,0.0226361992479067,0.31,0.0519065961061667,1.07065076632075
GSM340662,0.0321280145541514,0.0334543147074992,0.0723472142660604,0,0,0.0510749588924324,0.144420643683375,0,0.142140070420475,0.0158276898277389,0,0,0,0.124139386474466,0.00878427680951991,0.0388013172919132,0,0.238812971554878,0.0980691415174904,0,0,0,0.29,0.0588148636715093,1.05921456175837
GSM340663,0.0310519321972745,0,0,0.0479237762165465,0,0.0105266232236357,0.00852457446625438,0.075142737339227,0.236164581047429,0,0.0559427342295296,0.0660988597009837,0.020681540705176,0.0455809844831228,0.0298620014952862,0.00382075552781852,0.0333618932524168,0.257649984625956,0.0481920707201038,0,0,0.0294749507692399,0.38,0.0404105503984863,1.09903512551765
GSM340664,0,0.0676493347561609,0.0867777802130486,0,0,0.146229372974009,0.034951272368204,0,0.2637390299202,0.0998854540095495,0,0,0,0,0,0.105529194616554,0,0.188577292424257,0,0,0,0.00666126871801753,0.66,-8.47434055751865e-05,1.09700428923501
GSM340666,0,0.0640951618667617,0,0,0.0671128852980349,0.0237821724675348,0.296700003684086,0,0.0604155352185974,0.0284259127936922,0,0.0372983852495672,0,0,0.0106030976660162,0.104619501471437,0,0.185416543481993,0.0932811993627897,0,0,0.0282496014394908,0.73,-0.00342339227361342,1.08632020804824
GSM340667,0,0.0293058984833565,0,0,0.0665418472477178,0.136990636580505,0.13708700946391,0,0.199640623932618,0,0.0841147842076055,0,0,0.0462213570180958,0,0.211009337919132,0,0.089088505147059,0,0,0,0,0.63,0.0136932321656283,1.09148401448962
GSM340668,0.242762905069725,0,0,0,0.0390571132085005,0.334999431041423,0,0.0284638893207363,0.202564253685094,0,0.108274150522119,0,0.000779682428122745,0.0235406302102594,0,0,0,0.0112266766706899,0.00833126784333073,0,0,0,0.45,0.0311299047400682,1.13477628207599
GSM340669,0.14008276486593,0,0.0167878697653627,0,0,0.254760967830617,0.109028662331645,0,0,0,0.0203240833689725,0,0,0,0.0148131292379796,0.0826907328144853,0.205782397372942,0.0844351367347251,0.0252456932797112,0,0,0.0460485623976296,0.56,0.0217526534539078,1.06780714492139
GSM340670,0.021391850631236,0,0.274659509212156,0,0,0.133038525185893,0.0140392293128501,0.0101351301728807,0.0864470083772898,0.0636498206355166,0,0.0179404179035811,0.00328458175167822,0,0.0423840027832687,0.225694648538625,0,0.0690781955037807,0.038257079991244,0,0,0,0.56,0.0201921027225442,1.05334630652413
GSM340671,0,0.0887463940068858,0,0.0843194696526843,0,0,0.212521938904052,0,0.201482269506876,0,0.0236147345269148,0.0387141205156407,0,0,0,0.0111157771532483,0,0.227254732471556,0.0678485928497475,0,0,0.0443819704123947,0.26,0.0741607156056833,1.07027484352926
